Item,Variable,Substance,Tier,Field_Type,Gate_Variable,Gate_Value,Choice_Set,Text
1,hsum_alc,Alcohol,Screening,radio,NA,NA,yn_pnts,Alcohol
2,hsum_can,Cannabis,Screening,radio,NA,NA,yn_pnts,"Cannabis (marijuana, pot, grass, hash, etc.)"
3,hsum_nic,Nicotine,Screening,radio,NA,NA,yn_pnts,"Nicotine (cigarettes, vaping/e-cigarettes, nicotine pouches, over-the-counter nicotine gum, patch, lozenge)"
4,hsum_coc,Cocaine,Screening,radio,NA,NA,yn_pnts,"Cocaine (coke, crack, etc.)"
5,hsum_stm,Prescription stimulants,Screening,radio,NA,NA,yn_pnts,"Prescription stimulants (Ritalin, Concerta, Dexedrine, Adderall, diet pills, etc.)"
6,hsum_met,Methamphetamine,Screening,radio,NA,NA,yn_pnts,"Methamphetamine (speed, crystal meth, ice, etc.)"
7,hsum_inh,Inhalants,Screening,radio,NA,NA,yn_pnts,"Inhalants (nitrous oxide, glue, gas, paint thinner, etc.)"
8,hsum_sed,Sedatives,Screening,radio,NA,NA,yn_pnts,"Sedatives or sleeping pills (Valium, Serepax, Ativan, Xanax, Librium, Rohypnol, GHB, etc.)"
9,hsum_hal,Hallucinogens,Screening,radio,NA,NA,yn_pnts,"Hallucinogens (LSD, acid, mushrooms, PCP, Special K, ecstasy, etc.)"
10,hsum_sop,Street opioids,Screening,radio,NA,NA,yn_pnts,"Street opioids (heroin, opium, fentanyl, etc.)"
11,hsum_pop,Prescription opioids,Screening,radio,NA,NA,yn_pnts,"Prescription opioids (oxycodone [OxyContin, Percocet], hydrocodone [Vicodin], methadone, buprenorphine, etc.)"
12,hsum_oth,Other,Screening,radio,NA,NA,yn_pnts,Other
13,hsum_oth_txt,Other,Screening,text,hsum_oth,1,text,Please specify the other substance:
14,hsum_nic_form,Nicotine,Screening,checkbox,hsum_nic,1,nicotine_forms,In what forms did you use nicotine over the past 12 months? (select all that apply)
15,hsum_nic_form_txt,Nicotine,Screening,text,hsum_nic_form,6,text,Please specify the other form of nicotine:
16,hsum_nic_most,Nicotine,Screening,radio,hsum_nic_form,count>1,nicotine_forms,In what form did you MOST OFTEN use nicotine over the past 12 months?
17,hsum_alc_freq,Alcohol,Consumption,radio,hsum_alc,1,freq_12m,How often did you drink alcohol over the past 12 months?
18,hsum_alc_intox,Alcohol,Consumption,radio,hsum_alc,1,freq_intox,"Over the past 12 months, how often did you get intoxicated/drunk while drinking alcohol?"
19,hsum_alc_quant,Alcohol,Consumption,dropdown,hsum_alc,1,quant_alcohol,"On days when you drank alcohol, how many drinks did you typically consume on a single occasion?"
20,hsum_alc_heavy,Alcohol,Consumption,radio,hsum_alc,1,freq_heavy,"Over the past 12 months, how often did you have more than 4 drinks (for women) or 5 drinks (for men) on a single occasion?"
21,hsum_nic_freq,Nicotine,Consumption,radio,hsum_nic,1,freq_12m,How often did you use nicotine (in any form) over the past 12 months?
22,hsum_nic_quant_cig,Nicotine,Consumption,dropdown,hsum_nic_form,1,quant_nic_cig,"On days when you smoked cigarettes, how many did you typically smoke?"
