T,NEG_Raw,NEG_Ptl,DET_Raw,DET_Ptl,ANT_Raw,ANT_Ptl,DIS_Raw,DIS_Ptl,PSY_Raw,PSY_Ptl
35,0,0,0,0,0,0,0,0,0,0
36,0,0,0.02,0.01,0,0,0,0,0,0
37,0.05,0.02,0.07,0.05,0.01,0.04,0,0,0,0
38,0.11,0.04,0.12,0.08,0.05,0.05,0,0.05,0,0
39,0.17,0.1,0.18,0.12,0.1,0.1,0.05,0.07,0,0
40,0.23,0.16,0.23,0.16,0.15,0.14,0.1,0.12,0,0
41,0.28,0.21,0.28,0.2,0.2,0.19,0.15,0.17,0.05,0.14
42,0.34,0.25,0.34,0.25,0.25,0.25,0.2,0.22,0.1,0.22
43,0.4,0.29,0.39,0.29,0.29,0.29,0.24,0.28,0.15,0.3
44,0.46,0.35,0.45,0.33,0.34,0.32,0.29,0.32,0.2,0.38
45,0.52,0.39,0.5,0.36,0.39,0.37,0.34,0.39,0.25,0.43
46,0.58,0.42,0.55,0.42,0.44,0.44,0.39,0.43,0.3,0.48
47,0.64,0.46,0.61,0.47,0.48,0.47,0.44,0.47,0.35,0.52
48,0.69,0.5,0.66,0.5,0.53,0.51,0.48,0.52,0.4,0.56
49,0.75,0.53,0.71,0.53,0.58,0.55,0.53,0.57,0.45,0.59
50,0.81,0.56,0.77,0.56,0.63,0.57,0.58,0.6,0.5,0.62
51,0.87,0.61,0.82,0.59,0.67,0.59,0.63,0.64,0.55,0.65
52,0.93,0.64,0.87,0.63,0.72,0.63,0.68,0.68,0.6,0.67
53,0.99,0.68,0.93,0.67,0.77,0.66,0.73,0.71,0.65,0.7
54,1.04,0.71,0.98,0.7,0.82,0.69,0.77,0.73,0.7,0.73
55,1.1,0.74,1.03,0.72,0.86,0.72,0.82,0.75,0.75,0.75
56,1.16,0.77,1.09,0.75,0.91,0.75,0.87,0.77,0.8,0.77
57,1.22,0.79,1.14,0.78,0.96,0.78,0.92,0.78,0.85,0.79
58,1.28,0.81,1.19,0.8,1.01,0.8,0.97,0.81,0.9,0.81
59,1.34,0.82,1.25,0.82,1.06,0.83,1.01,0.83,0.95,0.82
60,1.4,0.84,1.3,0.82,1.1,0.85,1.06,0.85,1,0.83
61,1.45,0.85,1.35,0.84,1.15,0.86,1.11,0.86,1.05,0.84
62,1.51,0.87,1.41,0.85,1.2,0.88,1.16,0.87,1.1,0.86
63,1.57,0.88,1.46,0.87,1.25,0.9,1.21,0.89,1.16,0.88
64,1.63,0.89,1.51,0.89,1.29,0.91,1.25,0.9,1.21,0.89
65,1.69,0.9,1.57,0.91,1.34,0.92,1.3,0.91,1.26,0.9
66,1.75,0.91,1.62,0.92,1.39,0.92,1.35,0.93,1.31,0.92
67,1.81,0.93,1.67,0.94,1.44,0.93,1.4,0.93,1.36,0.92
68,1.86,0.93,1.73,0.95,1.48,0.93,1.45,0.94,1.41,0.93
69,1.92,0.94,1.78,0.96,1.53,0.95,1.5,0.94,1.46,0.94
70,1.98,0.94,1.83,0.97,1.58,0.95,1.54,0.95,1.51,0.94
71,2.04,0.96,1.89,0.97,1.63,0.97,1.59,0.96,1.56,0.95
72,2.1,0.96,1.94,0.97,1.68,0.97,1.64,0.96,1.61,0.96
73,2.16,0.97,1.99,0.98,1.72,0.98,1.69,0.97,1.66,0.96
74,2.22,0.98,2.05,0.98,1.77,0.98,1.74,0.97,1.71,0.97
75,2.27,0.98,2.1,0.98,1.82,0.98,1.78,0.97,1.76,0.97
76,2.33,0.98,2.15,0.98,1.87,0.98,1.83,0.98,1.81,0.97
77,2.39,0.98,2.21,0.99,1.91,0.98,1.88,0.98,1.86,0.98
78,2.45,0.99,2.26,0.99,1.96,0.98,1.93,0.98,1.91,0.98
79,2.51,0.99,2.31,0.99,2.01,0.98,1.98,0.99,1.96,0.98
80,2.57,1,2.37,0.99,2.06,0.99,2.02,0.99,2.01,0.99
81,2.63,1,2.42,0.99,2.1,0.99,2.07,0.99,2.06,0.99
82,2.68,1,2.47,1,2.15,0.99,2.12,0.99,2.11,0.99
83,2.74,1,2.53,1,2.2,0.99,2.17,0.99,2.16,0.99
84,2.8,1,2.58,1,2.25,1,2.22,0.99,2.21,1
85,2.86,1,2.63,1,2.29,1,2.27,0.99,2.26,1
86,2.92,1,2.69,1,2.34,1,2.31,0.99,2.31,1
87,2.98,1,2.74,1,2.39,1,2.36,0.99,2.36,1
88,3.04,1,2.79,1,2.44,1,2.41,1,2.41,1
89,3.09,1,2.85,1,2.49,1,2.46,1,2.46,1
90,3.15,1,2.9,1,2.53,1,2.51,1,2.51,1
