Score,Percentile
0,0.007
1,0.017
2,0.031
3,0.062
4,0.127
5,0.216
6,0.283
7,0.358
8,0.451
9,0.529
10,0.569
11,0.611
12,0.665
13,0.701
14,0.75
15,0.78
16,0.802
17,0.822
18,0.847
19,0.855
20,0.875
21,0.894
22,0.908
23,0.92
24,0.924
25,0.931
26,0.933
27,0.94
28,0.947
29,0.959
30,0.971
31,0.979
32,0.981
33,0.982
34,0.984
35,0.984
36,0.984
37,0.988
38,0.989
39,0.99
40,0.99
41,0.992
42,0.993
43,0.994
44,0.998
45,0.998
46,0.998
47,0.998
48,0.998
49,0.999
50,0.999
51,0.999
52,0.999
53,0.999
54,0.999
55,1
