T,NEG_Raw,NEG_Ptl,DET_Raw,DET_Ptl,ANT_Raw,ANT_Ptl,DIS_Raw,DIS_Ptl,PSY_Raw,PSY_Ptl
30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
39,0.04,0.11,0.00,0.16,0.00,0.00,0.01,0.11,0.00,0.00
40,0.11,0.18,0.06,0.16,0.02,0.13,0.06,0.11,0.00,0.00
41,0.17,0.24,0.12,0.22,0.07,0.13,0.11,0.21,0.00,0.00
42,0.24,0.24,0.17,0.30,0.11,0.22,0.16,0.21,0.00,0.31
43,0.30,0.30,0.23,0.30,0.16,0.22,0.21,0.28,0.05,0.31
44,0.37,0.37,0.29,0.36,0.21,0.35,0.26,0.36,0.10,0.43
45,0.43,0.41,0.35,0.42,0.26,0.44,0.31,0.36,0.14,0.43
46,0.49,0.41,0.40,0.42,0.31,0.44,0.36,0.45,0.19,0.52
47,0.56,0.46,0.46,0.48,0.35,0.52,0.41,0.45,0.24,0.52
48,0.62,0.51,0.52,0.52,0.40,0.58,0.46,0.53,0.29,0.58
49,0.69,0.55,0.58,0.52,0.45,0.58,0.51,0.59,0.34,0.64
50,0.75,0.58,0.63,0.58,0.50,0.64,0.56,0.59,0.38,0.64
51,0.82,0.58,0.69,0.62,0.54,0.68,0.61,0.64,0.43,0.69
52,0.88,0.61,0.75,0.62,0.59,0.68,0.66,0.65,0.48,0.69
53,0.94,0.67,0.81,0.67,0.64,0.74,0.71,0.68,0.53,0.73
54,1.01,0.72,0.86,0.71,0.69,0.74,0.76,0.74,0.57,0.73
55,1.07,0.72,0.92,0.74,0.74,0.78,0.81,0.74,0.62,0.77
56,1.14,0.76,0.98,0.74,0.78,0.79,0.86,0.77,0.67,0.79
57,1.20,0.80,1.04,0.77,0.83,0.82,0.91,0.77,0.72,0.79
58,1.27,0.82,1.09,0.80,0.88,0.85,0.96,0.80,0.77,0.83
59,1.33,0.82,1.15,0.80,0.93,0.85,1.01,0.84,0.81,0.83
60,1.40,0.84,1.21,0.83,0.97,0.87,1.05,0.84,0.86,0.85
61,1.46,0.86,1.27,0.84,1.02,0.87,1.10,0.86,0.91,0.85
62,1.52,0.87,1.32,0.84,1.07,0.89,1.15,0.86,0.96,0.86
63,1.59,0.89,1.38,0.87,1.12,0.89,1.20,0.89,1.00,0.89
64,1.65,0.89,1.44,0.89,1.17,0.91,1.25,0.90,1.05,0.89
65,1.72,0.89,1.50,0.89,1.21,0.92,1.30,0.90,1.10,0.91
66,1.78,0.91,1.55,0.92,1.26,0.92,1.35,0.92,1.15,0.91
67,1.85,0.92,1.61,0.93,1.31,0.94,1.40,0.92,1.20,0.92
68,1.91,0.92,1.67,0.95,1.36,0.94,1.45,0.93,1.24,0.92
69,1.97,0.93,1.73,0.95,1.40,0.96,1.50,0.96,1.29,0.94
70,2.04,0.95,1.78,0.96,1.45,0.96,1.55,0.96,1.34,0.95
71,2.10,0.95,1.84,0.97,1.50,0.96,1.60,0.96,1.39,0.95
72,2.17,0.97,1.90,0.97,1.55,0.97,1.65,0.96,1.43,0.96
73,2.23,0.97,1.96,0.98,1.60,0.97,1.70,0.97,1.48,0.96
74,2.30,0.97,2.01,0.98,1.64,0.98,1.75,0.97,1.53,0.96
75,2.36,0.98,2.07,0.98,1.69,0.98,1.80,0.98,1.58,0.96
76,2.42,0.98,2.13,0.98,1.74,0.98,1.85,0.98,1.62,0.97
77,2.49,0.98,2.19,0.98,1.79,0.98,1.90,0.98,1.67,0.98
78,2.55,0.99,2.24,0.98,1.83,0.98,1.95,0.98,1.72,0.98
79,2.62,1.00,2.30,0.99,1.88,0.98,2.00,0.98,1.77,0.98
80,2.68,1.00,2.36,0.99,1.93,0.98,2.05,0.99,1.82,0.98
81,2.75,1.00,2.42,0.99,1.98,0.98,2.10,0.99,1.86,0.99
82,2.81,1.00,2.47,0.99,2.03,0.99,2.15,0.99,1.91,0.99
83,2.87,1.00,2.53,1.00,2.07,0.99,2.20,0.99,1.96,0.99
84,2.94,1.00,2.59,1.00,2.12,0.99,2.25,0.99,2.01,0.99
85,3.00,1.00,2.65,1.00,2.17,1.00,2.29,1.00,2.05,0.99
86,3.07,1.00,2.70,1.00,2.22,1.00,2.34,1.00,2.10,0.99
87,3.13,1.00,2.76,1.00,2.26,1.00,2.39,1.00,2.15,0.99
88,3.20,1.00,2.82,1.00,2.31,1.00,2.44,1.00,2.20,0.99
89,3.26,1.00,2.88,1.00,2.36,1.00,2.49,1.00,2.25,0.99
90,3.32,1.00,2.93,1.00,2.41,1.00,2.54,1.00,2.29,1.00
