T,Anhedonia_Raw,Anhedonia_Ptl,Anxiousness_Raw,Anxiousness_Ptl,Attention seeking_Raw,Attention seeking_Ptl,Callousness_Raw,Callousness_Ptl,Deceitfulness_Raw,Deceitfulness_Ptl,Depressivity_Raw,Depressivity_Ptl,Distractibility_Raw,Distractibility_Ptl,Eccentricity_Raw,Eccentricity_Ptl,Emotional lability_Raw,Emotional lability_Ptl,Grandiosity_Raw,Grandiosity_Ptl,Hostility_Raw,Hostility_Ptl,Impulsivity_Raw,Impulsivity_Ptl,Intimacy avoidance_Raw,Intimacy avoidance_Ptl,Irresponsibility_Raw,Irresponsibility_Ptl,Manipulativeness_Raw,Manipulativeness_Ptl,Perceptual dysregulation_Raw,Perceptual dysregulation_Ptl,Perseveration_Raw,Perseveration_Ptl,Restricted affectivity_Raw,Restricted affectivity_Ptl,Rigid perfectionism_Raw,Rigid perfectionism_Ptl,Risk taking_Raw,Risk taking_Ptl,Separation insecurity_Raw,Separation insecurity_Ptl,Submissiveness_Raw,Submissiveness_Ptl,Suspiciousness_Raw,Suspiciousness_Ptl,Unusual beliefs and experiences_Raw,Unusual beliefs and experiences_Ptl,Withdrawal_Raw,Withdrawal_Ptl
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.07,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.07,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,0,0,0,0.15,0.07,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.1,0,0,0,0,0,0,0.22,0.07,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.1,0,0,0,0,0,0,0.29,0.16,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.1,0,0,0,0,0,0,0.35,0.16,0,0,0,0,0,0
40,0,0,0.07,0.25,0.02,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.28,0,0,0,0,0.02,0.26,0,0,0.02,0.27,0.31,0.19,0.05,0.27,0,0,0.01,0.29,0.42,0.16,0,0.29,0,0,0.02,0.3
41,0,0,0.15,0.25,0.09,0.27,0,0,0,0,0,0,0.06,0.3,0,0,0,0,0,0.38,0.05,0.29,0.07,0.28,0,0,0,0,0.08,0.26,0,0,0.08,0.27,0.37,0.19,0.13,0.27,0,0,0.09,0.29,0.49,0.16,0.06,0.29,0,0,0.09,0.3
42,0.03,0.39,0.23,0.25,0.17,0.27,0,0,0,0,0,0,0.14,0.3,0,0,0.04,0.38,0.06,0.38,0.12,0.29,0.14,0.28,0,0,0,0,0.14,0.26,0,0,0.15,0.27,0.44,0.19,0.2,0.27,0,0.41,0.16,0.29,0.56,0.24,0.13,0.29,0,0,0.17,0.3
43,0.1,0.39,0.31,0.37,0.24,0.27,0,0,0,0,0,0,0.21,0.3,0.07,0.43,0.12,0.38,0.12,0.38,0.19,0.29,0.21,0.28,0.05,0.44,0,0,0.2,0.26,0,0,0.21,0.27,0.5,0.31,0.28,0.38,0.06,0.41,0.23,0.29,0.63,0.24,0.19,0.29,0,0,0.25,0.3
44,0.16,0.39,0.39,0.37,0.31,0.4,0.01,0.58,0.03,0.57,0,0,0.29,0.43,0.15,0.43,0.19,0.38,0.18,0.38,0.26,0.42,0.27,0.44,0.12,0.44,0.02,0.58,0.26,0.43,0,0,0.28,0.41,0.57,0.31,0.35,0.39,0.12,0.41,0.31,0.43,0.7,0.25,0.25,0.29,0.04,0.57,0.32,0.42
45,0.23,0.39,0.48,0.37,0.38,0.4,0.06,0.58,0.08,0.57,0,0.68,0.37,0.44,0.23,0.43,0.26,0.51,0.24,0.38,0.33,0.42,0.34,0.44,0.19,0.44,0.06,0.58,0.32,0.43,0,0,0.35,0.42,0.63,0.31,0.42,0.39,0.18,0.41,0.38,0.43,0.76,0.37,0.31,0.45,0.09,0.57,0.4,0.42
