PID5,PID5FSF,PID5BF,Reverse,INC,ORS,PRD,SDTD,Facet
1,,,FALSE,,,,,Anhedonia
2,1,,FALSE,,1,1,1,Suspiciousness
3,,1,FALSE,,,,,Risk Taking
4,2,2,FALSE,,,,2,Impulsivity
5,,,FALSE,,,,,Eccentricity
6,,,FALSE,,,,,Distractibility
7,,,TRUE,,,,,Risk Taking
8,,,FALSE,,2,,,Restricted Affectivity
9,3,,FALSE,,,,,Submissiveness
10,,,FALSE,,,,,Withdrawal
11,,,FALSE,,,2,,Callousness
12,,,FALSE,,,,,Separation Insecurity
13,,,FALSE,,,,,Callousness
14,,,FALSE,,,,,Attention Seeking
15,4,,FALSE,,,,,Submissiveness
16,5,,FALSE,,,,,Impulsivity
17,6,3,FALSE,,,,,Impulsivity
18,,,FALSE,,,,3,Emotional Lability
19,7,,FALSE,,,,,Callousness
20,,,FALSE,,,,,Withdrawal
21,,,FALSE,16,,,,Eccentricity
22,8,,FALSE,,,,,Impulsivity
23,9,,FALSE,,,,4,Anhedonia
24,,,FALSE,17,,,,Eccentricity
25,10,,FALSE,17,,,,Eccentricity
26,11,,FALSE,,,,,Anhedonia
27,,4,FALSE,,,,,Depressivity
28,,,FALSE,,,,,Hostility
29,,,FALSE,,,,,Distractibility
30,,,TRUE,,,,5,Anhedonia
31,,5,FALSE,,,,,Irresponsibility
32,,,FALSE,,,,,Hostility
33,,,FALSE,,,,,Eccentricity
34,,,FALSE,,,,,Rigid Perfectionism
35,,,TRUE,,,,,Risk Taking
36,,,FALSE,,,3,,Perceptual Dysregulation
37,,,FALSE,,,,,Perceptual Dysregulation
38,12,,FALSE,6,,4,6,Hostility
39,13,,FALSE,,3,,,Risk Taking
40,14,,FALSE,,4,,,Grandiosity
41,,,FALSE,,,,,Deceitfulness
42,,,FALSE,,,5,,Perceptual Dysregulation
43,,,FALSE,,,,,Attention Seeking
44,15,,FALSE,,5,,,Perceptual Dysregulation
45,,,FALSE,,,,,Restricted Affectivity
46,,,FALSE,,,,,Perseveration
47,,6,FALSE,,,6,,Distractibility
48,16,,FALSE,,,,,Risk Taking
49,,,FALSE,,,,,Rigid Perfectionism
50,17,,FALSE,9,,,7,Separation Insecurity
51,,,FALSE,,,,,Perseveration
52,,7,FALSE,18,,,8,Eccentricity
53,18,,FALSE,,,,,Deceitfulness
54,,,FALSE,,,,,Callousness
55,,,FALSE,16,,,,Eccentricity
56,,,FALSE,,,,,Deceitfulness
57,,,FALSE,,,,9,Separation Insecurity
58,,,TRUE,,,,,Impulsivity
59,,,FALSE,,,,,Perceptual Dysregulation
60,19,,FALSE,,,,,Perseveration
61,,,FALSE,,,,,Depressivity
62,,,FALSE,,,,,Emotional Lability
63,20,,FALSE,,,,,Submissiveness
64,,,FALSE,,,,,Separation Insecurity
65,,,FALSE,,,,,Grandiosity
66,,,FALSE,,,,10,Depressivity
67,21,,FALSE,,,,,Risk Taking
68,,,FALSE,,,,11,Distractibility
69,,,FALSE,,,,,Risk Taking
70,22,,FALSE,19,,,,Eccentricity
71,,,FALSE,19,,,,Eccentricity
72,,,FALSE,,,,,Callousness
73,,,FALSE,,,,,Callousness
74,23,,FALSE,10,,,,Attention Seeking
75,,,FALSE,,,,,Withdrawal
76,,,FALSE,,,,,Deceitfulness
77,,,FALSE,,,,,Perceptual Dysregulation
78,,,FALSE,,,,,Perseveration
79,24,,FALSE,1,,,,Anxiousness
80,25,,FALSE,7,,,12,Perseveration
81,26,,FALSE,,,,,Depressivity
82,27,,FALSE,,,,13,Withdrawal
83,,,FALSE,,,,,Perceptual Dysregulation
84,28,,FALSE,,,,,Restricted Affectivity
85,,,FALSE,,,,,Hostility
86,,,FALSE,,,,,Depressivity
87,,,TRUE,,,,,Risk Taking
88,,,FALSE,,,,14,Distractibility
89,29,,FALSE,14,,,,Intimacy Avoidance
90,,,TRUE,,,,,Callousness
91,30,,FALSE,,,,,Restricted Affectivity
92,31,,FALSE,6,,,,Hostility
