"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)"
"hbr_instructions","hbr_questionnaire",,"descriptive","Please consider whether there have been significant times during the last 12 months during which the following statements applied to you. Then please select the option that best describes how well each statement described you during that period.",,,,,,,,,,
"hbr_01","hbr_questionnaire",,"radio","I found it easy to deceive others.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hbr_02","hbr_questionnaire",,"radio","I deserved special treatment.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hbr_03","hbr_questionnaire",,"radio","I saw things that were not really there.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hbr_04","hbr_questionnaire",,"radio","My fantasies felt very real to me.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hbr_05","hbr_questionnaire",,"radio","I liked having power.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hbr_06","hbr_questionnaire",,"radio","I felt something was wrong with my body.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hbr_07","hbr_questionnaire",,"radio","When I had the chance, I chose to be alone rather than with other people.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hbr_08","hbr_questionnaire",,"radio","My moods were intense and unpredictable.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hbr_09","hbr_questionnaire",,"radio","My mind was flooded with troubling images of a bad experience.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hbr_10","hbr_questionnaire",,"radio","I had pains in several parts of my body.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hbr_11","hbr_questionnaire",,"radio","I felt like I was outside of my body.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hbr_12","hbr_questionnaire",,"radio","I was happiest when I was alone.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hbr_13","hbr_questionnaire",,"radio","I found it easy to manipulate others.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
