"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max","Identifier?","Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)"
"hsr_instructions","hsr_questionnaire",,"descriptive","Please consider whether there have been significant times during the last 12 months during which the following statements applied to you. Then please select the option that best describes how well each statement described you during that period.",,,,,,,,,,
"hsr_001","hsr_questionnaire",,"radio","I preferred to stay home than to go to a party.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_002","hsr_questionnaire",,"radio","I felt that my work must be flawless.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_003","hsr_questionnaire",,"radio","I saw things that were not really there.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_004","hsr_questionnaire",,"radio","I was embarrassed because I pulled my hair.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_005","hsr_questionnaire",,"radio","I avoided foods because I did not like their appearance","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_006","hsr_questionnaire",,"radio","I felt dizzy or lightheaded.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_007","hsr_questionnaire",,"radio","I believed it was fine to tell a little lie in order to get out of trouble.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_008","hsr_questionnaire",,"radio","Most people were just out for themselves.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_009","hsr_questionnaire",,"radio","My home was so cluttered that it was difficult to get around.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_010","hsr_questionnaire",,"radio","I had pains in several parts of my body.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_011","hsr_questionnaire",,"radio","I felt down and discouraged.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_012","hsr_questionnaire",,"radio","I was uncomfortable meeting new people.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_013","hsr_questionnaire",,"radio","I was unable to resist the impulse to gamble.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_014","hsr_questionnaire",,"radio","I found it easy to manipulate others.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_015","hsr_questionnaire",,"radio","I made decisions quickly without thinking them through.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_016","hsr_questionnaire",,"radio","I spent a lot of time looking at myself.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_017","hsr_questionnaire",,"radio","It was difficult for me to touch something that was dirty.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
"hsr_018","hsr_questionnaire",,"radio","I refused to budge as a matter of principle, even on small matters.","1, Not at all | 2, A little | 3, Moderately | 4, A lot",,,,,,,"y",,
